atraso,aluno_id,falta,criado_em,primeira_metade
atrasado,216,TRUE,2024-04-11 20:01:04.939057,TRUE
atrasado,217,TRUE,2024-04-11 20:01:04.940704,TRUE
atrasado,218,TRUE,2024-04-11 20:01:04.942979,TRUE
atrasado,219,TRUE,2024-04-11 20:01:04.945209,TRUE
atrasado,220,TRUE,2024-04-11 20:01:04.946465,TRUE
atrasado,221,TRUE,2024-04-11 20:01:04.947679,TRUE
atrasado,222,TRUE,2024-04-11 20:01:04.948871,TRUE
atrasado,223,TRUE,2024-04-11 20:01:04.950164,TRUE
atrasado,224,TRUE,2024-04-11 20:01:04.951487,TRUE
atrasado,225,TRUE,2024-04-11 20:01:04.952798,TRUE
atrasado,226,TRUE,2024-04-11 20:01:04.954118,TRUE
atrasado,227,TRUE,2024-04-11 20:01:04.955368,TRUE
atrasado,228,TRUE,2024-04-11 20:01:04.956434,TRUE
atrasado,229,TRUE,2024-04-11 20:01:04.957512,TRUE
atrasado,230,TRUE,2024-04-11 20:01:04.958843,TRUE
atrasado,231,TRUE,2024-04-11 20:01:04.960600,TRUE
atrasado,232,TRUE,2024-04-11 20:01:04.962218,TRUE
atrasado,233,TRUE,2024-04-11 20:01:04.963747,TRUE
atrasado,234,TRUE,2024-04-11 20:01:04.965216,TRUE
atrasado,235,TRUE,2024-04-11 20:01:04.966947,TRUE
atrasado,236,TRUE,2024-04-11 20:01:04.969618,TRUE
atrasado,237,TRUE,2024-04-11 20:01:04.971521,TRUE
atrasado,120,TRUE,2024-04-11 22:01:02.826959,FALSE
atrasado,121,TRUE,2024-04-11 22:01:02.828551,FALSE
atrasado,122,TRUE,2024-04-11 22:01:02.829815,FALSE
atrasado,123,TRUE,2024-04-11 22:01:02.831070,FALSE
atrasado,124,TRUE,2024-04-11 22:01:02.832266,FALSE
atrasado,125,TRUE,2024-04-11 22:01:02.833479,FALSE
atrasado,126,TRUE,2024-04-11 22:01:02.834672,FALSE
atrasado,127,TRUE,2024-04-11 22:01:02.835988,FALSE
atrasado,128,TRUE,2024-04-11 22:01:02.837431,FALSE
atrasado,129,TRUE,2024-04-11 22:01:02.847721,FALSE
atrasado,130,TRUE,2024-04-11 22:01:02.849370,FALSE
atrasado,131,TRUE,2024-04-11 22:01:02.850647,FALSE
atrasado,132,TRUE,2024-04-11 22:01:02.852138,FALSE
atrasado,133,TRUE,2024-04-11 22:01:02.870301,FALSE
atrasado,134,TRUE,2024-04-11 22:01:02.872162,FALSE
atrasado,135,TRUE,2024-04-11 22:01:02.873720,FALSE
atrasado,136,TRUE,2024-04-11 22:01:02.875222,FALSE
atrasado,137,TRUE,2024-04-11 22:01:02.876750,FALSE
atrasado,138,TRUE,2024-04-11 22:01:02.880927,FALSE
atrasado,139,TRUE,2024-04-11 22:01:02.889300,FALSE
atrasado,140,TRUE,2024-04-11 22:01:02.891138,FALSE
atrasado,141,TRUE,2024-04-11 22:01:02.892691,FALSE
atrasado,142,TRUE,2024-04-11 22:01:02.894145,FALSE
atrasado,143,TRUE,2024-04-11 22:01:02.895653,FALSE
atrasado,144,TRUE,2024-04-11 22:01:02.897131,FALSE
atrasado,145,TRUE,2024-04-11 22:01:02.898564,FALSE
atrasado,146,TRUE,2024-04-11 22:01:02.900094,FALSE
atrasado,147,TRUE,2024-04-11 22:01:02.901502,FALSE
atrasado,148,TRUE,2024-04-11 22:01:02.902932,FALSE
atrasado,149,TRUE,2024-04-11 22:01:02.904314,FALSE
atrasado,150,TRUE,2024-04-11 22:01:02.905659,FALSE
atrasado,151,TRUE,2024-04-11 22:01:02.907027,FALSE
atrasado,152,TRUE,2024-04-11 22:01:02.908428,FALSE
atrasado,153,TRUE,2024-04-11 22:01:02.909870,FALSE
atrasado,154,TRUE,2024-04-11 22:01:02.911472,FALSE
atrasado,155,TRUE,2024-04-11 22:01:02.912868,FALSE
atrasado,156,TRUE,2024-04-11 22:01:02.914270,FALSE
atrasado,157,TRUE,2024-04-11 22:01:02.915646,FALSE
atrasado,158,TRUE,2024-04-11 22:01:02.920072,FALSE
atrasado,159,TRUE,2024-04-11 22:01:02.921434,FALSE
atrasado,160,TRUE,2024-04-11 22:01:02.922760,FALSE
atrasado,161,TRUE,2024-04-11 22:01:02.925457,FALSE
atrasado,162,TRUE,2024-04-11 22:01:02.926899,FALSE
atrasado,163,TRUE,2024-04-11 22:01:02.933969,FALSE
atrasado,164,TRUE,2024-04-11 22:01:02.935546,FALSE
atrasado,165,TRUE,2024-04-11 22:01:02.936957,FALSE
atrasado,166,TRUE,2024-04-11 22:01:02.938346,FALSE
atrasado,167,TRUE,2024-04-11 22:01:02.939708,FALSE
atrasado,168,TRUE,2024-04-11 22:01:02.941163,FALSE
atrasado,169,TRUE,2024-04-11 22:01:02.942547,FALSE
atrasado,170,TRUE,2024-04-11 22:01:02.943913,FALSE
atrasado,171,TRUE,2024-04-11 22:01:02.969536,FALSE
atrasado,172,TRUE,2024-04-11 22:01:02.971507,FALSE
atrasado,173,TRUE,2024-04-11 22:01:02.972975,FALSE
